X,Micros
0.0,4
0.0,1292
0.0,2580
0.0,3860
0.01,5152
0.01,6432
0.01,7784
0.02,9120
0.02,10400
0.03,11744
0.03,13084
0.04,14420
0.05,15800
0.05,17196
0.06,18484
0.06,19872
0.07,21164
0.08,22556
0.09,23888
0.09,25236
0.1,26528
0.1,27832
0.1,29112
0.1,30396
0.11,31688
0.11,33028
0.12,34424
0.12,35760
0.13,37100
0.14,38428
0.14,39772
0.15,41108
0.15,42436
0.15,43728
0.16,45060
0.17,46460
0.17,47800
0.18,49080
0.18,50364
0.18,51692
0.19,53060
0.19,54344
0.2,55668
0.21,57008
0.21,58396
0.22,59728
0.22,61020
0.23,62348
0.23,63680
0.24,65336
0.24,66672
0.25,68008
0.26,69296
0.26,70580
0.26,71856
0.27,73132
0.27,74472
0.28,75796
0.29,77184
0.29,78580
0.3,79860
0.3,81144
0.3,82420
0.31,83764
0.32,85096
0.32,86440
0.33,87780
0.33,89128
0.34,90404
0.34,91792
0.34,93068
0.35,94352
0.35,95676
0.36,97020
0.37,98408
0.37,99744
0.38,101088
0.38,102416
0.39,103748
0.4,105100
0.4,106464
0.41,107792
0.42,109132
0.42,110472
0.42,111800
0.43,113196
0.43,114472
0.44,115832
0.45,117156
0.45,118504
0.46,119844
0.46,121240
0.47,122528
0.47,123872
0.48,125204
0.48,126556
0.49,128004
0.5,129288
0.5,130576
0.5,131912
0.5,133196
0.51,134532
0.52,135872
0.52,137272
0.53,138604
0.54,139948
0.54,141292
0.55,142632
0.55,143920
0.56,145316
0.57,146648
0.57,147992
0.58,149336
0.58,150608
0.58,151892
0.59,153168
0.59,154444
0.6,155800
0.61,157168
0.61,158500
0.62,159840
0.62,161220
0.63,162508
0.63,163832
0.63,165296
0.63,166644
0.64,168040
0.64,169320
0.65,170608
0.65,171940
0.65,173280
0.66,174616
0.66,175956
0.67,177292
0.68,178620
0.68,180012
0.69,181296
0.69,182632
0.7,183928
0.7,185268
0.71,186596
0.72,188004
0.72,189344
0.73,190632
0.73,191916
0.73,193260
0.74,194592
0.75,195968
0.76,197324
0.76,198648
0.77,199920
0.77,201212
0.77,202552
0.78,203828
0.79,205216
0.79,206568
0.8,207960
0.8,209244
0.8,210532
0.81,211868
0.81,213148
0.82,214484
0.83,215876
0.83,217152
0.84,218496
0.84,219844
0.85,221204
0.85,222484
0.86,223884
0.86,225216
0.87,226580
0.88,227928
0.88,229264
0.89,230600
0.89,231936
0.9,233232
0.9,234516
0.91,235856
0.92,237192
0.92,238536
0.93,239880
0.93,241256
0.93,242536
0.94,243880
0.95,245212
0.95,246548
0.96,247820
0.96,249152
0.97,250448
0.97,251728
0.97,253008
0.98,254344
0.98,255740
0.99,257084
1.0,258420
1.0,259760
1.01,261100
1.01,262380
1.02,263724
1.02,265280
1.03,266620
1.03,267956
1.04,269292
1.04,270628
1.05,271968
1.05,273356
1.06,274700
1.06,275984
1.07,277320
1.08,278664
1.08,279992
1.09,281276
1.09,282616
1.1,283956
1.1,285296
1.11,286692
1.12,287964
1.12,289248
1.12,290524
1.12,291804
1.13,293088
1.13,294484
1.14,295816
1.15,297160
1.15,298540
1.16,299876
1.16,301228
1.17,302508
1.17,303856
1.18,305192
1.19,306540
1.19,307872
1.2,309208
1.2,310548
1.21,311892
1.21,313228
1.22,314572
1.22,315904
1.23,317244
1.24,318588
1.24,319932
1.25,321276
1.25,322596
1.26,323884
1.26,325244
1.27,326588
1.27,327924
1.28,329276
1.28,330616
1.28,331944
1.29,333280
1.3,334632
1.3,335964
1.31,337308
1.32,338712
1.32,340056
1.33,341444
1.33,342728
1.33,344056
1.34,345392
1.35,346728
1.35,348072
1.36,349408
1.36,350684
1.37,351972
1.37,353308
1.38,354652
1.38,356008
1.39,357428
1.4,358772
1.4,360056
1.41,361336
1.41,362676
1.42,364020
1.42,365364
1.43,366640
1.44,367968
1.44,369308
1.44,370580
1.45,371860
1.45,373144
1.46,374540
1.46,375824
1.47,377152
1.48,378504
1.48,379840
1.48,381120
1.49,382460
1.49,383736
1.5,385072
1.51,386404
1.51,387752
1.52,389076
1.52,390364
1.53,391648
1.53,392988
1.54,394364
1.54,395716
1.55,397052
1.56,398396
1.56,399732
1.57,401016
1.57,402352
1.58,403696
1.58,405032
1.59,406380
1.6,407724
1.6,409056
1.6,410396
1.61,411676
1.61,413012
1.62,414356
1.62,415704
1.63,417032
1.64,418376
1.64,419756
1.65,421036
1.65,422372
1.65,423664
1.66,424992
1.67,426388
1.67,427736
1.68,429072
1.68,430408
1.69,431748
1.69,433028
1.7,434368
1.7,435740
1.71,437076
1.72,438416
1.73,439816
1.73,441100
1.73,442436
1.74,443780
1.75,445116
1.75,446464
1.76,447748
1.76,449100
1.76,450436
1.77,451716
1.77,453052
1.78,454344
1.78,455688
1.79,457052
1.8,458400
1.8,459724
1.8,461056
1.81,462396
1.82,463736
1.82,465440
1.82,466884
1.83,468224
1.83,469576
1.84,470856
1.84,472136
1.85,473524
1.85,474864
1.86,476228
1.87,477568
1.87,478900
1.88,480244
1.88,481524
1.89,482904
1.89,484244
1.9,485592
1.91,486932
1.91,488272
1.91,489612
1.92,490892
1.92,492180
1.92,493512
1.93,494844
1.94,496192
1.95,497524
1.95,498864
1.96,500176
1.96,501464
1.96,502748
1.97,504036
1.98,505412
1.98,506756
1.99,508096
1.99,509440
2.0,510776
2.0,512112
2.01,513396
2.01,514700
2.02,516040
2.03,517472
2.03,518868
2.04,520156
2.04,521492
2.05,522776
2.05,524124
2.06,525460
2.07,526800
2.07,528140
2.08,529428
2.08,530708
2.08,531988
2.09,533328
2.09,534660
2.1,536000
2.11,537388
2.11,538720
2.12,540048
2.12,541440
2.13,542776
2.13,544060
2.14,545404
2.14,546744
2.15,548084
2.15,549432
2.16,550712
2.16,551992
2.17,553328
2.17,554664
2.18,556060
2.19,557392
2.19,558740
2.2,560016
2.2,561296
2.21,562632
2.21,564100
2.22,566004
2.23,567348
2.23,568676
2.23,570020
2.24,571352
2.24,572688
2.25,574032
2.25,575376
2.26,576708
2.27,578048
2.27,579396
2.28,580780
2.28,582060
2.29,583440
2.29,584740
2.3,586080
2.31,587448
2.31,588720
2.31,590008
2.32,591288
2.32,592580
2.33,593864
2.33,595252
2.34,596624
2.35,598020
2.35,599312
2.36,600592
2.36,601936
2.37,603276
2.38,604608
2.38,606012
2.39,607348
2.39,608676
2.39,610020
2.4,611352
2.4,612688
2.41,614028
2.41,615400
2.42,616724
2.43,618056
2.43,619388
2.44,620672
2.44,622008
2.45,623316
2.45,624600
2.46,625940
2.47,627296
2.47,628580
2.47,629852
2.48,631132
2.48,632476
2.49,633764
2.49,635096
2.5,636428
2.51,637764
2.51,639100
2.52,640440
2.52,641784
2.53,643116
2.53,644456
2.54,645800
2.55,647140
2.55,648480
2.55,649760
2.56,651152
2.56,652432
2.57,653768
2.57,655104
2.58,656500
2.59,657840
2.59,659200
2.6,660476
2.6,661760
2.6,663156
2.61,664580
2.6,666592
2.61,667932
2.62,669316
2.62,670592
2.62,671928
2.63,673264
2.63,674544
2.64,675876
2.65,677208
2.65,678536
2.66,679880
2.66,681216
2.67,682560
2.67,683868
2.68,685216
2.69,686612
2.69,687908
2.7,689176
2.7,690460
2.7,691740
2.7,693024
2.71,694360
2.72,695684
2.73,697088
2.73,698432
2.74,699776
2.74,701120
2.74,702400
2.75,703740
2.76,705080
2.76,706460
2.77,707800
2.78,709104
2.78,710392
2.78,711728
2.78,713064
2.79,714344
2.8,715724
2.81,717124
2.81,718472
2.82,719816
2.82,721152
2.83,722420
2.83,723768
2.84,725120
2.85,726484
2.85,727824
2.86,729184
2.86,730460
2.86,731804
2.87,733084
2.87,734420
2.88,735760
2.89,737116
2.89,738456
2.9,739732
2.9,741020
2.9,742356
2.91,743644
2.92,744976
2.92,746332
2.93,747672
2.93,749012
2.94,750304
2.94,751588
2.95,752872
2.95,754152
2.96,755500
2.96,756832
2.97,758180
2.98,759464
2.98,760796
2.98,762132
2.99,763484
2.99,765024
3.0,766300
3.01,767700
3.01,769040
3.01,770320
3.02,771600
3.02,772888
3.03,774216
3.03,775560
3.04,776904
3.05,778248
3.05,779628
3.05,780912
3.06,782196
3.06,783536
3.07,784812
3.08,786216
3.08,787556
3.09,788896
3.09,790192
3.1,791472
3.1,792752
3.1,794084
3.11,795432
3.12,796764
3.13,798144
3.13,799476
3.14,800812
3.14,802132
3.15,803424
3.15,804756
3.16,806088
3.17,807428
3.17,808772
3.17,810052
3.18,811440
3.18,812724
3.18,814052
3.19,815416
3.2,816764
3.2,818104
3.21,819432
3.21,820712
3.22,822000
3.22,823332
3.23,824684
3.24,826028
3.24,827368
3.25,828712
3.25,830020
3.25,831296
3.26,832680
3.26,833956
3.27,835300
3.28,836676
3.28,838012
3.29,839348
3.3,840684
3.3,841960
3.3,843340
3.31,844672
3.32,846008
3.33,847424
3.33,848756
3.33,850040
3.33,851368
3.34,852708
3.34,854048
3.35,855336
3.36,856668
3.36,858008
3.37,859340
3.37,860624
3.38,861908
3.38,863192
3.39,864468
3.39,865808
3.4,867156
3.4,868496
3.41,869836
3.41,871172
3.41,872452
3.42,873736
3.42,875088
3.43,876428
3.44,877756
3.44,879088
3.45,880428
3.45,881760
3.46,883044
3.46,884436
3.47,885776
3.48,887168
3.48,888460
3.49,889796
3.49,891128
3.49,892480
3.5,893860
3.5,895144
3.51,896536
3.52,897880
3.52,899208
3.53,900544
3.53,901828
3.54,903144
3.54,904420
3.55,905760
3.55,907108
3.56,908448
3.56,909736
3.57,911108
3.57,912388
3.58,913704
3.58,915000
3.59,916340
3.6,917736
3.6,919108
3.61,920396
3.61,921672
3.62,923008
3.62,924344
3.63,925684
3.64,927012
3.64,928356
3.65,929644
3.65,930920
3.65,932200
3.65,933488
3.66,934832
3.67,936172
3.67,937512
3.68,938872
3.69,940156
3.69,941484
3.69,942824
3.7,944188
3.71,945528
3.71,946872
3.72,948212
3.73,949544
3.73,950880
3.73,952160
3.73,953440
3.74,954840
3.75,956168
3.75,957528
3.76,958856
3.77,960252
3.77,961532
3.78,962864
3.78,964268
3.78,965556
3.79,966868
3.8,968212
3.8,969540
3.8,970820
3.81,972100
3.81,973388
3.82,974784
3.82,976124
3.83,977468
3.83,978800
3.84,980140
3.84,981416
3.85,982776
3.85,984068
3.86,985408
3.87,986756
3.87,988136
3.88,989476
3.88,990812
3.89,992180
3.89,993460
3.89,994800
3.9,996200
3.91,997540
3.92,998876
3.92,1000220
3.93,1001552
3.93,1002832
3.93,1004172
3.94,1005444
3.95,1006784
3.95,1008124
3.96,1009464
3.96,1010792
3.97,1012124
3.97,1013408
3.97,1014752
3.98,1016092
3.99,1017492
3.99,1018824
4.0,1020164
4.0,1021516
4.01,1022848
4.01,1024192
4.02,1025528
4.03,1026892
4.03,1028232
4.04,1029608
4.04,1030896
4.05,1032176
4.05,1033452
4.05,1034796
4.06,1036196
4.07,1037532
4.07,1038868
4.08,1040212
4.08,1041492
4.09,1042824
4.09,1044104
4.1,1045444
4.11,1046784
4.11,1048184
4.12,1049460
4.12,1050740
4.13,1052068
4.13,1053352
4.13,1054644
4.14,1056000
4.15,1057288
4.15,1058624
4.16,1059964
4.16,1061296
4.17,1062652
4.17,1063940
4.18,1065280
